spectral_centroid,spectral_bandwidth, spectral_contrast,spectral_rolloff,class
1773.3580042070714,1972.3342580837248,20.846251943086177,3714.063439002404,blues
1817.2440342102782,2010.7514941911925,20.53478979675418,3870.510441706731,blues
1790.7223574520176,2088.184749666668,20.429690303817658,4000.206580528846,blues
1660.5452310071382,1967.9205820737752,20.29963530479633,3579.149639423077,blues
1634.465076519023,1954.6335662004494,20.286265797390413,3480.096905048077,blues
1996.0176496378274,2154.37851650228,19.923070738419472,4373.973294771635,blues
1962.1393843408164,2146.576085061606,19.8565530044766,4324.778207632212,blues
1703.3712341503212,1984.0458953347777,20.414927242993464,3627.5165264423076,blues
1749.640819675943,1894.0173852400917,20.605779528837978,3592.5664813701924,blues
1767.490801374921,1879.7824961429394,20.82164999189666,3512.810809795673,blues
1280.7839011654419,1921.7466622385148,18.86829256601174,2894.393780048077,blues
1517.4623719572185,2097.8396344558487,20.516191300580594,3483.2440655048076,blues
1313.872428489873,1517.7174226941102,21.48131100391876,2560.5463115985576,blues
1482.6529954550092,1912.7847663760174,20.51406961240488,3232.879169170673,blues
1731.3952797463478,2152.7477488254303,20.51661862759376,4102.240835336538,blues
1494.5751672484325,2192.000817579294,20.428246232400593,3689.71435546875,blues
1573.1729325377553,2186.3589410905656,20.257769858985093,3840.529597355769,blues
1884.0382113146734,2335.41569851311,20.65521959856025,4540.027418870192,blues
1669.677742761553,2174.0909272254335,21.970912697542452,3982.648737980769,blues
1378.0660447772493,1935.8164160774681,20.153967483035863,3199.751164362981,blues
1677.698922976312,1795.7433611455683,21.979037284218986,3300.7915790264424,blues
1338.9885134331157,1661.1541101550679,21.722964021214644,2666.141826923077,blues
1593.019426681505,1784.0133390805845,21.858020969956698,3226.9989483173076,blues
1441.0004143053911,1700.3303008851087,21.47095750127408,2867.14599609375,blues
1541.7736508832506,1728.5624131093566,22.07872633610041,3059.6197040264424,blues
1597.0947115905803,1734.2386522011002,22.34561025417522,3177.7210411658652,blues
1400.0893050300656,1522.6553747562755,22.329027305587797,2560.215031550481,blues
1549.1415882842232,1788.2955997272488,22.20731807813107,2927.107684795673,blues
1705.7293360492881,1882.2820236237776,22.311814874121662,3325.886042668269,blues
1678.9369728706124,1901.842830473728,22.164843534419795,3283.6478365384614,blues
860.8846909468327,1375.8784219159181,20.88958102100279,1636.0265174278845,blues
942.6433344439785,1395.3119753641047,21.179638927962188,1853.5946890024038,blues
900.4000918326515,1368.5727150781506,21.075057358994208,1702.19970703125,blues
1127.1087904653289,1671.969013843969,20.946299089299952,2401.1177884615386,blues
1239.7083510650634,1748.8817186993845,21.334886702735975,2735.79345703125,blues
1252.8360559223358,1809.9303835432663,21.421991514084205,2760.556640625,blues
1034.5049672932255,1579.2853666702888,21.48029172149054,2013.685772235577,blues
1079.4736774620103,1665.6865809383874,21.46547668150379,2149.096491887019,blues
1216.15799814495,1732.8694551836386,21.20437391483625,2533.2157076322114,blues
1071.8311485365664,1680.9822460443852,21.412013850832277,2117.707707331731,blues
1547.556147738317,1583.1908905780865,21.791611300115306,2929.4266451322114,blues
2392.174536517522,1972.6614427249117,22.421069667694713,4549.386080228365,blues
2097.7099326080097,1966.3563353058573,21.321726128003956,4234.5872145432695,blues
1991.7913833863117,1769.2895295229978,21.8833073665688,3914.073768028846,blues
1776.823908378159,1629.983381123466,22.0613045667141,3373.259089543269,blues
1982.560591844919,1919.2332123075957,20.481476766018613,4111.8479567307695,blues
